,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-2,B-2,B-2,,T-5,T-5,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-5,,,,B-3,B-1,T-5,T-5,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,,T-5,T-5,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,,,T-5,T-5,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,,,,T-5,T-5,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-2,,,,,T-5,T-5,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-5,B-5,B-2,,,,,,,T-5,T-5,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-5,,,,,,,,,T-5,T-5,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-5,,,,,,,,,T-5,T-5,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-1,,,,,,,,,T-5,T-5,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,T-5,T-5,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,,T-5,T-5,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,,,T-5,T-5,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-3,,,,T-5,T-5,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,,,,,,T-5,T-5,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-1,,,,,,T-5,T-5,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,T-5,T-5,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-3,,T-5,T-5,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,,,,T-5,T-5,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-1,,,,T-5,T-5,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-3,B-3,T-5,T-5,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-2,B-2,B-2,B-3,B-3,,T-5,T-5,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-5,,,,B-3,,,,T-5,T-5,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,B-2,B-3,,,,T-5,T-5,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-2,,,,,,T-5,T-5,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-1,,,,,,T-5,T-5,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-5,T-5,
