,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,T-5,T-5,,,B-2,B-2,B-2,,,T-5,T-5,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,T-5,T-5,B-5,B-5,B-2,,M-1,,,T-5,T-5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,B-3,B-3,T-5,T-5,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,T-5,T-5,,,,B-2,B-2,B-3,,T-5,T-5,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,T-5,T-5,,,,B-2,,,,T-5,T-5,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,T-5,T-5,,,,M-1,,,,T-5,T-5,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,T-5,T-5,B-2,B-2,B-2,B-2,B-2,,,T-5,T-5,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,T-5,T-5,,,,,M-1,,,T-5,T-5,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,T-5,T-5,,,,,,,,T-5,T-5,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
